district_name,state_ut,households_surveyed,women_15_49_interviewed,men_15_54_interviewed,female_population_age_6_years_and_above_ever_schooled_pct,population_below_age_15_years_pct,sex_ratio_total_f_per_1000_m,sex_ratio_at_birth_5y_f_per_1000_m,child_u5_whose_birth_was_civil_reg_pct,deaths_in_the_last_3_years_civil_reg_pct,hh_electricity_pct,hh_improved_water_pct,hh_use_improved_sanitation_pct,households_using_clean_fuel_for_cooking_pct,households_using_iodized_salt_pct,hh_member_covered_health_insurance_pct,child_5y_who_attended_pre_primary_school_during_the_school_pct,women_age_15_49_who_are_literate_pct,women_age_15_49_with_10_or_more_years_of_schooling_pct,w20_24_married_before_age_18_years_pct,births_in_the_5_years_preceding_the_survey_that_are_birth_3_pct,w15_19_who_were_already_mothers_or_pregnant_at_the_time_of_pct,w15_24_who_use_menstrual_hygiene_pct,fp_cm_w15_49_any_method_pct,fp_cm_w15_49_modern_method_pct,fp_cm_w15_49_f_steril_pct,fp_cm_w15_49_m_steril_pct,fp_cm_w15_49_iud_pct,fp_cm_w15_49_pill_pct,fp_cm_w15_49_condom_pct,fp_cm_w15_49_injectables_pct,fp_unmet_total_cm_w15_49_7_pct,fp_unmet_spacing_cm_w15_49_7_pct,health_worker_ever_talked_to_female_non_users_about_family_pct,current_users_ever_told_about_side_effects_of_current_metho_pct,mothers_who_had_an_anc_visit_in_the_first_trimester_lb5y_pct,mothers_who_had_at_least_4_anc_visits_lb5y_pct,mothers_whose_last_birth_was_protected_against_neo_tetanus_pct,mothers_who_consumed_ifa_for_100_days_or_more_when_they_wer_pct,mothers_who_consumed_ifa_for_180_days_or_more_when_they_wer_pct,registered_pregnancies_for_which_the_mother_received_a_mcp_pct,mothers_who_received_pnc_from_a_doctor_nurse_lhv_anm_midwif_pct,average_out_of_pocket_expenditure_per_delivery_in_a_public_fac,children_born_at_home_who_were_taken_to_a_health_facility_f_pct,children_who_received_pnc_from_a_doctor_nurse_lhv_anm_midwi_pct,institutional_birth_5y_pct,institutional_birth_in_public_facility_5y_pct,home_birth_that_were_conducted_by_skilled_hp_5y_10_pct,births_attended_by_skilled_hp_5y_10_pct,births_delivered_by_csection_5y_pct,births_in_a_private_fac_that_were_delivered_by_csection_5y_pct,births_in_a_public_fac_that_were_delivered_by_csection_5y_pct,child_12_23m_fully_vaccinated_based_on_information_from_eit_pct,child_12_23m_fully_vaccinated_based_on_information_from_vax_pct,child_12_23m_who_have_received_bcg_pct,child_12_23m_who_have_received_3_doses_of_polio_vaccine_pct,child_12_23m_who_have_received_3_doses_of_penta_or_dpt_vacc_pct,child_12_23m_who_have_received_the_first_dose_of_mcv_mcv_pct,child_24_35m_who_have_received_a_second_dose_of_mcv_mcv_pct,child_12_23m_who_have_received_3_doses_of_rotavirus_vaccine_pct,child_12_23m_who_have_received_3_doses_of_penta_or_hepatiti_pct,child_9_35m_who_received_a_vit_a_in_the_last_6_months_pct,child_12_23m_who_received_most_of_their_vaccinations_in_a_p_pct,child_12_23m_who_received_most_of_their_vaccinations_in_a_2_pct,prev_diarrhoea_2wk_child_u5_pct,children_with_diarrhoea_2wk_who_received_oral_rehydration_s_pct,children_with_diarrhoea_2wk_who_received_zinc_child_u5_pct,children_with_diarrhoea_2wk_taken_to_a_health_facility_or_h_pct,children_prev_symptoms_of_acute_respiratory_infection_ari_2_pct,children_with_fever_or_symptoms_of_ari_2wk_taken_to_a_healt_pct,children_under_age_3_years_breastfed_within_one_hour_of_bir_pct,child_u6m_exclusively_breastfed_pct,child_6_8m_receiving_solid_or_semi_solid_food_and_breastmil_pct,breastfeeding_child_6_23m_receiving_an_adequate_diet16_17_pct,non_breastfeeding_child_6_23m_receiving_an_adequate_diet16_pct,total_child_6_23m_receiving_an_adequate_diet16_17_pct,child_u5_who_are_stunted_height_for_age_18_pct,child_u5_who_are_wasted_weight_for_height_18_pct,child_u5_who_are_severe_wasted_weight_for_height_19_pct,child_u5_who_are_underweight_weight_for_age_18_pct,child_u5_who_are_overweight_weight_for_height_20_pct,women_age_15_49_years_whose_bmi_bmi_is_underweight_bmi_lt_1_pct,women_age_15_49_years_who_are_overweight_obese_bmi_gte_25_0_pct,women_age_15_49_years_who_have_high_risk_whr_gte_0_85_pct,child_6_59m_who_are_anaemic_lt_11_0_g_dl_22_pct,non_pregnant_w15_49_who_are_anaemic_lt_12_0_g_dl_22_pct,pregnant_w15_49_who_are_anaemic_lt_11_0_g_dl_22_pct,all_w15_49_who_are_anaemic_pct,all_w15_19_who_are_anaemic_pct,women_age_15_years_and_above_with_high_141_160_mg_dl_blood_pct,w15_plus_with_very_high_gt_160_mg_dl_blood_sugar_pct,w15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,m15_plus_with_high_141_160_mg_dl_blood_sugar_pct,men_age_15_years_and_above_with_very_high_gt_160_mg_dl_bloo_pct,m15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,w15_plus_with_mildly_high_bp_sys_140_159_mmhg_and_or_dia_90_pct,w15_plus_with_moderately_or_severely_high_bp_sys_gte_160_mm_pct,w15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,m15_plus_with_mildly_high_bp_sys_140_159_mmhg_and_or_dia_90_pct,m15_plus_with_moderately_or_severely_high_bp_sys_gte_160_mm_pct,m15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,women_age_30_49_years_ever_undergone_a_cervical_screen_pct,women_age_30_49_years_ever_undergone_a_breast_exam_pct,women_age_30_49_years_ever_undergone_an_oral_cancer_exam_pct,w15_plus_who_use_any_kind_of_tobacco_pct,m15_plus_who_use_any_kind_of_tobacco_pct,w15_plus_who_consume_alcohol_pct,m15_plus_who_consume_alcohol_pct
Katihar ,Bihar,892,945,107,57.5,39,1053,888 ,80.9,36.6 ,92,99.2,44.6,16.9,96.7,8.4,8.8 ,49.7,19.8,49.4 ,4.4 ,16.1 ,49.5,33.8,26.4,18.4,0.1,0.5,3.4,1.7,1.3,22.4,9.2,22.6,57.5 ,40.9 ,15.3 ,84.4 ,16.2 ,8.4 ,91.7 ,41.7 ,2333 ,1.6 ,44.3 ,66.9,59.9,9.3,73.8,4,(37.8),2.3 ,73.7 ,82.6 ,93.2 ,79.1 ,84.1 ,83.9 ,26.1 ,3.1 ,78.3 ,50.2 ,92.1 ,0.9 ,10.6,60.4 ,17.1 ,64.6 ,2.1,66.0 ,25.8 ,(36.1),(53.1),13.6 ,*,13.8 ,43.9 ,23.5 ,8.7 ,48.1 ,1.4 ,26.4,13.1,62.1,65.6 ,68.9,61.0 ,68.4,66.7 ,6.5,6.3,14.4,9.1,8.8,19.6,6,4,17,8.5,2.9,17.8,0,0,0,6.1,49.2,0.6,10.3
Madhepura ,Bihar,931,1055,127,58,38.3,1148,1058 ,61.8,31.4 ,97,99.3,34.6,13.4,95.4,9.5,11.6 ,47.6,23.2,52.0 ,6.5 ,20.8 ,49.6,55.8,47.6,37.4,0.1,0.3,3,4.3,2.4,11.1,4.7,29.9,60.8 ,53.8 ,20.9 ,87.7 ,14.9 ,8.2 ,95.6 ,49.5 ,982 ,4.5 ,58.9 ,75,68.8,5.3,77.1,3,(39.0),1.0 ,72.0 ,87.7 ,97.6 ,77.7 ,83.2 ,86.5 ,29.5 ,0.0 ,77.6 ,55.8 ,98.4 ,1.6 ,13.6,52.1 ,36.2 ,48.6 ,1.6,58.2 ,34.0 ,(64.1),(32.0),6.9 ,(6.8),6.9 ,46.3 ,20.6 ,6.2 ,43.5 ,1.5 ,32,12.9,64.9,67.7 ,65.4,69.0 ,65.7,70.4 ,8.7,6.4,15.4,7.9,8.3,16.9,5.3,1.9,10.4,7.6,2.8,14.5,0.9,0,0.5,7.9,53.2,0.5,13.8
Saharsa ,Bihar,907,960,110,50.2,38.8,1128,1034 ,75.8,32.4 ,97.2,100,40.5,25.2,94.6,12.8,3.7 ,43.1,20.9,51.0 ,4.9 ,23.5 ,43.5,44.7,37.6,34.5,0,0.8,0.5,0.9,0.8,16.7,8.2,21.8,38.7 ,34.8 ,11.7 ,82.7 ,12.1 ,4.4 ,95.1 ,38.5 ,2273 ,0.9 ,40.8 ,70.4,62,5.6,72.9,6.1,(42.7),4.0 ,72.2 ,88.5 ,97.1 ,74.5 ,85.1 ,87.2 ,35.2 ,0.8 ,82.8 ,57.4 ,98.8 ,1.2 ,8.8,50.3 ,21.2 ,71.3 ,2,75.5 ,38.0 ,(49.4),(48.1),11.8 ,*,10.3 ,47.8 ,20.5 ,8.3 ,42.7 ,1.9 ,31,12.8,51.7,69.3 ,65.7,61.8 ,65.3,67.9 ,6.6,4.7,11.7,9,6.7,16.5,6.2,2.8,14.9,8.8,4.2,15.5,0.2,0.2,0,10.7,54.9,0.2,9.6
Darbhanga ,Bihar,913,1053,100,54.9,37.1,1122,812 ,86.1,27.5 ,97.2,99.8,48.7,41.6,96,25.3,3.3 ,49.4,22.7,45.1 ,4.0 ,10.3 ,57.5,61.3,48.8,37.5,0,0.4,3,4.9,1.1,12.7,6.8,21.5,50.2 ,51.8 ,24.9 ,91.9 ,22.0 ,12.2 ,87.6 ,50.5 ,3230 ,1.1 ,50.9 ,69.9,55.8,10.7,75.9,10.6,52.7 ,5.7 ,66.3 ,80.7 ,95.2 ,69.0 ,78.3 ,81.9 ,30.4 ,0.0 ,78.3 ,60.4 ,94.9 ,5.1 ,14.3,61.9 ,19.6 ,57.9 ,3.8,65.4 ,30.9 ,(71.7),*,13.4 ,*,14.0 ,45.4 ,19.3 ,6.4 ,39.2 ,1.5 ,25.6,13.4,59.8,68.9 ,61.3,52.5 ,60.8,59.7 ,6.4,5.9,13.5,10.1,8.8,19.3,9,3.7,17.5,13.7,6.3,23.5,0.8,0.2,0.2,5.6,55.1,0.3,10.6
Muzaffarpur ,Bihar,914,1095,94,65.1,34.9,1097,685 ,82.2,38.3 ,96.6,99.9,55.2,41.5,96.1,13.2,4.9 ,63,33.8,32.9 ,5.5 ,8.2 ,67.8,66.1,55.7,45,0,0.9,2.3,4.7,1.2,12.1,6,20.8,57.9 ,55.9 ,28.2 ,93.8 ,13.7 ,8.1 ,84.1 ,55.9 ,3663 ,4.6 ,55.9 ,72.5,51.3,7.9,78.2,10.5,40.3 ,3.9 ,74.9 ,83.7 ,99.1 ,75.9 ,88.5 ,91.9 ,34.4 ,1.1 ,88.4 ,57.8 ,98.0 ,2.0 ,14.6,66.3 ,27.9 ,61.6 ,4.3,80.3 ,29.7 ,(71.9),*,16.3 ,*,17.2 ,42.6 ,19.9 ,8.1 ,34.7 ,1.9 ,25.2,16.5,57.3,64.6 ,58.7,61.7 ,58.9,66.1 ,6.9,4.9,12.4,6.9,7.2,16.4,9.8,5,18.1,14.1,6.9,24,1.4,0.2,0,7.2,51.5,0.5,11.2
Gopalganj ,Bihar,912,1139,96,63.3,34.6,1157,943 ,87.8,40.8 ,96.2,99.9,60.1,39.4,96.6,12.7,2.7 ,63.3,32.9,28.0 ,3.5 ,7.6 ,63.8,57.3,39.5,27.1,0,0.2,1.5,3.3,0.6,19.4,5.5,17.9,45.7 ,53.2 ,27.9 ,90.1 ,23.6 ,8.6 ,89.6 ,53.9 ,2559 ,0.0 ,54.2 ,85.9,60.3,3.3,88,9.1,27.5 ,3.4 ,75.8 ,97.9 ,98.4 ,79.0 ,91.1 ,89.6 ,37.0 ,1.7 ,91.1 ,69.1 ,98.1 ,1.9 ,6.1,(69.2),(9.1),(40.6),5.9,61.5 ,38.6 ,83.5 ,*,14.9 ,*,13.8 ,34.2 ,21.5 ,9.8 ,29.2 ,3.5 ,22.7,17.9,69,56.1 ,53.8,54.0 ,53.8,54.1 ,4.7,4.9,10.5,5,4.8,10.1,11.7,5.1,20.3,16.3,5,22.8,1.5,0.2,0,5.2,47.8,0.1,12
Siwan ,Bihar,941,1256,95,70.7,31.5,1141,1060 ,86.5,61.9 ,95.3,99.8,47.7,48,94.1,8.2,13.2 ,70.9,38.9,21.3 ,3.8 ,2.6 ,55.8,53.5,42.4,30.2,0,0,2.3,7,0.7,15.4,5.1,9.3,40.2 ,61.0 ,30.3 ,96.6 ,21.1 ,12.8 ,82.9 ,63.9 ,4135 ,(9.9),63.0 ,86.4,65.3,4.4,86.9,11.3,37.8 ,5.2 ,76.1 ,83.2 ,97.4 ,78.4 ,92.6 ,86.4 ,25.3 ,0.0 ,87.2 ,48.3 ,100.0 ,0.0 ,15.8,56.7 ,14.2 ,49.1 ,7.4,71.6 ,21.9 ,(59.5),*,10.8 ,*,10.8 ,36.7 ,18.2 ,5.8 ,30.8 ,3.1 ,18.1,23.3,63.5,63.9 ,53,(58.0),53.1,64.0 ,3.4,4.9,9,8.3,6.6,15.7,12.4,5.2,19.6,18.1,9.4,29.6,0.2,0,0,4.6,44.1,0.4,11.4
Saran ,Bihar,945,1229,137,64.8,35.3,1077,779 ,73.1,43.8 ,93.6,99.7,37.2,36.8,92.9,9.4,7.2 ,65.6,35.5,26.2 ,4.2 ,6.2 ,59,41.1,31.4,23.6,0,0.4,1.7,4.9,0.5,17.3,7.7,18,36.7 ,44.4 ,30.7 ,88.1 ,14.8 ,8.5 ,94.3 ,54.1 ,2903 ,1.9 ,58.3 ,73,57.2,8.6,79.1,8,43.9 ,1.9 ,72.0 ,85.7 ,95.2 ,75.7 ,89.1 ,88.9 ,31.1 ,16.2 ,83.1 ,50.2 ,99.1 ,0.9 ,15.9,51.5 ,36.8 ,72.1 ,1.6,71.4 ,28.2 ,(45.0),(58.7),5.9 ,*,7.1 ,39.7 ,28.8 ,10.0 ,45.0 ,2.0 ,22.1,19.1,50.7,69.8 ,63,59.1 ,62.8,70.9 ,8.1,6.8,16.5,7.9,8.4,18.1,8.4,3.3,16.7,12.7,2.6,19.3,0.5,0.8,0.3,4.2,44,0.6,17.4
Vaishali ,Bihar,925,1112,123,64.5,34.7,1069,1118 ,81.5,44.1 ,96.5,99.2,52.6,40.9,86.2,13.5,24.9 ,62.4,34,44.9 ,4.6 ,8.1 ,68.2,45.8,41,36.5,0,0.9,0.8,1.9,0.7,16.7,8.3,18.5,47.4 ,46.7 ,24.5 ,80.8 ,14.8 ,6.8 ,88.5 ,57.4 ,2571 ,2.1 ,64.3 ,81.6,63.1,6.5,84.8,9.5,39.9 ,3.4 ,71.0 ,84.2 ,97.4 ,74.8 ,85.0 ,82.3 ,13.2 ,5.3 ,72.7 ,55.8 ,98.1 ,1.0 ,15,54.9 ,18.2 ,69.9 ,3.9,61.4 ,27.6 ,47.0 ,*,12.1 ,*,11.7 ,38.3 ,19.6 ,6.5 ,38.4 ,3.8 ,26.1,16.9,61.8,77.1 ,62.9,66.8 ,63.1,69.6 ,6.5,5.3,13.6,8.1,7,17.1,6,3.5,17.4,10.2,3.7,19.6,0.2,0.4,0.8,3.9,46.3,0.4,19.2
Samastipur ,Bihar,923,1061,118,60.9,37.8,1071,890 ,88.5,39.2 ,95.7,98.6,48.8,36.1,91.9,19,3.4 ,54.3,26.5,49.8 ,5.3 ,14.9 ,58.7,63.7,53.8,41.1,0.1,0.6,3,4.4,1.7,11.1,5.5,20.6,59.4 ,53.4 ,23.5 ,90.4 ,20.8 ,8.9 ,90.4 ,52.1 ,2268 ,9.0 ,51.5 ,83.4,71.9,2.9,83.7,6.2,47.2 ,1.0 ,71.4 ,85.5 ,99.0 ,74.6 ,89.5 ,89.4 ,30.5 ,0.0 ,88.5 ,64.1 ,98.3 ,1.7 ,10.6,60.2 ,30.3 ,56.3 ,4.5,78.7 ,27.0 ,63.5 ,(41.1),17.5 ,*,17.7 ,44.0 ,21.3 ,7.9 ,42.8 ,1.7 ,26.7,15.2,54.3,67.2 ,59.9,69.7 ,60.5,65.9 ,8,5.6,14.3,7.9,7,15.9,7.1,4.2,15.8,9.4,4.4,16.4,0.6,0.6,0.4,3.5,51.7,0.1,10.5
Begusarai ,Bihar,966,1170,165,65,36.4,1076,1058 ,81.7,37.5 ,96.2,99.1,62.2,45.2,89.2,13.2,26.3 ,62.3,34.1,49.5 ,5.9 ,12.1 ,70.7,55.8,46.2,36.7,0.4,1,1.2,2.9,1.2,16,9,17.4,53.1 ,46.5 ,21.6 ,88.6 ,21.4 ,11.8 ,87.8 ,58.6 ,1710 ,8.5 ,60.9 ,86,63.6,3.4,85.6,6.3,25.3 ,0.9 ,65.8 ,80.8 ,96.6 ,72.9 ,82.3 ,81.0 ,24.5 ,2.5 ,80.4 ,57.2 ,96.5 ,1.7 ,11.9,61.8 ,31.6 ,63.1 ,3.1,75.4 ,42.0 ,(50.8),*,5.5 ,(0.0),4.6 ,37.8 ,21.0 ,8.8 ,35.6 ,4.0 ,26,17.6,68.6,74.5 ,63.2,58.7 ,62.9,64.3 ,6.8,5.6,13.2,9.1,5.6,15.8,7.1,2.4,13.9,9.7,3.1,17,0.2,0.2,0,4,49.6,0.4,13.7
Khagaria ,Bihar,909,1072,125,60.6,41.3,1111,918 ,66.8,31.8 ,94.5,98.8,65,33.2,88,15.6,7.2 ,51.8,26.6,44.9 ,6.0 ,15.1 ,50.5,40.9,34.9,27.4,0.1,0.2,1.7,2.8,0.5,15.4,9.5,14.4,56.2 ,44.6 ,17.4 ,83.9 ,15.8 ,3.5 ,89.5 ,54.2 ,4327 ,7.3 ,52.2 ,74.2,64,8.8,82.3,4.4,38.0 ,0.8 ,64.7 ,84.3 ,97.1 ,73.1 ,83.7 ,82.6 ,31.4 ,2.6 ,82.9 ,62.9 ,92.9 ,2.6 ,13.9,55.6 ,27.4 ,69.2 ,1.6,81.2 ,26.3 ,48.2 ,(34.5),16.5 ,(15.6),16.3 ,34.8 ,25.3 ,9.3 ,36.4 ,1.4 ,24.7,18.1,56.5,67.1 ,59.1,62.9 ,59.5,65.1 ,8.4,7.8,17.1,9.8,10.8,21.7,7.5,2.3,13,9.4,3.1,16.1,0.7,0.2,0.9,3.5,43.7,0.1,6.9
Bhagalpur ,Bihar,966,1154,179,65.1,35.1,986,879 ,74.1,26.4 ,94.5,98,60.9,49.2,85.2,16.3,17.4 ,65.6,35.1,42.4 ,3.4 ,14.3 ,75.6,57.4,46.8,31.9,0,0,3.4,9.1,1.6,12.8,6.5,31.2,39.9 ,53.3 ,27.6 ,89.9 ,28.0 ,16.8 ,85.4 ,54.0 ,2975 ,1.9 ,60.5 ,77.2,52.1,6.3,77.5,11.5,33.6 ,5.9 ,66.8 ,81.0 ,96.0 ,73.4 ,91.1 ,91.8 ,51.9 ,15.6 ,89.2 ,46.2 ,84.7 ,8.3 ,10.9,73.7 ,23.6 ,76.2 ,1.1,69.5 ,33.4 ,52.6 ,*,5.4 ,(19.9),8.1 ,40.0 ,21.2 ,8.3 ,40.4 ,2.8 ,22.9,19.4,70.1,78.7 ,73.7,63.7 ,73,73.9 ,7.5,7.1,15.6,8.5,7.3,16.3,7,3.2,13.3,8.8,3.1,14.7,1.6,1.2,1.3,2.4,47.3,0.2,21.2
Banka ,Bihar,979,1098,147,59.3,36.1,1083,991 ,73.8,32.8 ,96.2,96.3,38.2,32.3,90.1,13.6,23.7 ,55.7,22.6,49.4 ,2.4 ,19.2 ,62.8,71.5,55.7,44.7,0.2,0.7,2.1,4.7,0.4,9.7,4.8,21.7,50.0 ,70.7 ,31.7 ,93.6 ,24.5 ,14.7 ,84.0 ,72.3 ,8076 ,0.0 ,74.7 ,79.8,68,3.8,80.4,7.5,38.8 ,4.3 ,88.1 ,89.5 ,98.1 ,90.2 ,92.9 ,95.0 ,42.3 ,2.2 ,93.8 ,42.8 ,99.1 ,0.9 ,6.9,(63.8),(41.4),(62.5),2.3,72.6 ,41.1 ,56.9 ,*,3.1 ,*,2.8 ,46.7 ,26.9 ,11.0 ,45.8 ,5.2 ,23.8,13.4,70.7,77.8 ,65.7,68.6 ,65.9,60.4 ,7.2,4.7,13,7.2,9.1,16.9,10.6,4.8,17.4,12.4,5.4,18.8,0.6,0,0,1.8,49.4,0.5,17.9
Munger ,Bihar,972,1100,157,69.5,31.3,1032,966 ,84.8,50.7 ,98.4,97.7,62.8,59.4,92.6,15.2,22.2 ,69.5,44.4,34.7 ,4.2 ,9.6 ,80.2,68.6,49,33.7,0.2,0.6,3.1,8.6,1.1,10.3,5.7,23.3,65.3 ,68.7 ,36.8 ,90.5 ,33.0 ,15.3 ,89.8 ,80.7 ,2461 ,(4.4),83.4 ,93.2,60,2.8,92.3,21.8,48.4 ,9.5 ,73.4 ,84.8 ,95.0 ,75.1 ,85.9 ,86.8 ,44.1 ,1.2 ,83.4 ,44.6 ,97.6 ,1.3 ,14.5,58.7 ,24.4 ,67.1 ,2.6,69.9 ,28.3 ,(60.3),(34.6),5.8 ,*,5.1 ,35.5 ,26.7 ,9.1 ,39.5 ,2.4 ,23.7,20.9,70.7,74.3 ,71.3,72.9 ,71.4,73.8 ,9.8,8.7,19.5,11.6,9.6,21.8,9.8,3.5,16.1,10.6,3.9,18.3,1.5,1.5,1.7,2.5,40.9,0.1,12.9
Lakhisarai ,Bihar,969,1222,147,61.2,37.8,1074,886 ,74.8,37.4 ,98,96.6,51.6,42.6,84.2,15.1,22.1 ,57.9,30,56.1 ,4.6 ,13.0 ,64.9,67,50.4,37,0.2,1.2,3.2,5.2,0.6,11.7,6.4,19.8,53.4 ,66.1 ,28.0 ,92.8 ,21.1 ,8.0 ,87.1 ,66.7 ,9523 ,7.1 ,74.1 ,75.8,58.4,5.4,76.2,9.3,44.2 ,2.8 ,68.9 ,76.8 ,92.9 ,73.7 ,82.4 ,83.9 ,23.7 ,0.0 ,82.4 ,41.8 ,97.7 ,2.3 ,9.7,44.3 ,30.0 ,61.4 ,1.3,79.3 ,36.0 ,51.2 ,(56.5),3.6 ,(3.4),3.6 ,42.7 ,25.6 ,10.4 ,45.1 ,1.4 ,25.3,16.2,67.4,77.2 ,72.9,67.8 ,72.6,75.1 ,7.3,4.8,12.8,8.8,7.7,17.8,6.6,3.4,12.3,9.3,2.1,13.8,0.2,0,0.1,2.4,45.4,0.8,20
Sheikhpura ,Bihar,958,1160,132,58.5,37.5,1074,888 ,82.9,47.8 ,97.3,98.4,54.2,40.3,90.3,9.7,9.5 ,55,28.3,46.1 ,5.7 ,10.2 ,68.1,78.8,50.3,37.2,0.2,0.6,1.5,4.8,2.3,3.2,1.5,26.2,58.6 ,68.8 ,28.4 ,95.8 ,24.1 ,6.7 ,87.7 ,77.1 ,1842 ,(0.0),78.7 ,89.2,69.7,3.7,91.8,14.6,43.5 ,8.8 ,82.8 ,86.6 ,99.2 ,85.6 ,90.0 ,88.7 ,31.4 ,1.2 ,87.2 ,42.8 ,99.4 ,0.6 ,9.1,(59.3),(52.8),(75.0),6.8,69.0 ,25.2 ,81.7 ,*,5.0 ,(7.5),5.5 ,53.6 ,16.3 ,7.7 ,37.6 ,5.6 ,24.1,13.3,67.7,80.1 ,69.7,(64.2),69.5,73.9 ,5.7,3.4,9.9,5.8,4.4,11.1,9.2,4.2,16.3,11.1,3.9,16.1,0.5,0.5,0.3,2.1,45,0.2,23.2
Nalanda ,Bihar,962,1151,146,59.6,37.2,1048,959 ,73.3,40.6 ,98.9,98.9,52.5,41,89.1,12.8,16.3 ,56.1,28.8,42.0 ,4.9 ,10.0 ,64.4,72.3,52.4,37.8,0.2,0.6,2.5,6,2.7,7.5,4.2,27.8,54.1 ,64.7 ,29.3 ,94.2 ,16.4 ,5.3 ,87.6 ,77.5 ,2628 ,4.0 ,73.0 ,80.3,53.9,6.4,85.1,17.1,45.1 ,9.6 ,75.2 ,83.8 ,95.7 ,82.2 ,86.6 ,83.4 ,22.4 ,0.0 ,84.9 ,44.1 ,100.0 ,0.0 ,12.4,72.6 ,51.7 ,74.4 ,5.3,84.3 ,22.4 ,67.2 ,(40.9),7.5 ,*,9.6 ,42.6 ,27.8 ,12.1 ,46.7 ,1.8 ,23.8,16,68.1,80.3 ,71.5,61.7 ,71,70.2 ,6.8,3.8,11.1,7.7,5.2,13.6,8.2,3.3,13.4,9.3,3.6,14,0.4,0,0,2.8,49.8,0.3,21.5
Patna ,Bihar,897,942,143,69.5,32.7,950,1002 ,73.6,39.9 ,99,98.8,61,64.6,92.9,10.2,18.2 ,67.6,43.6,26.6 ,8.0 ,10.1 ,74.3,49.3,42.3,31.4,0.1,1.9,2.9,4.9,0.5,15,4.6,18.6,46.4 ,51.7 ,17.9 ,83.0 ,20.7 ,15.7 ,88.8 ,59.0 ,2863 ,(0.0),63.1 ,89.1,51,3.3,81.4,22,47.0 ,7.9 ,56.6 ,(72.5),98.4 ,67.0 ,83.9 ,78.6 ,20.9 ,11.0 ,78.7 ,58.4 ,94.9 ,5.1 ,9.3,(43.8),(20.7),(67.8),0.7,68.8 ,34.1 ,(22.3),*,9.0 ,(6.0),8.3 ,34.5 ,27.5 ,10.6 ,39.6 ,1.4 ,22.6,21.5,66.9,65.4 ,67.3,(63.7),67.1,62.8 ,7.6,7.8,17.1,10,8.8,19.9,8.1,2.5,16.1,10,2.4,14.8,1.6,0.6,0.1,2.1,39.9,0.4,21
Bhojpur ,Bihar,974,1213,181,67.9,34.2,1003,872 ,70.7,44.6 ,97.9,99.7,45.9,42.9,92.2,9.6,16.2 ,64.1,34.6,31.2 ,4.2 ,5.3 ,60.8,63.9,47.9,37.7,0.6,2.2,2.2,4.1,0.7,11.8,5.1,17.5,45.0 ,42.7 ,33.5 ,93.8 ,15.5 ,6.2 ,93.3 ,56.1 ,2214 ,(0.0),62.4 ,86.9,61.8,2.3,87.5,12.6,37.4 ,5.2 ,61.9 ,80.6 ,98.4 ,64.1 ,80.6 ,85.7 ,24.1 ,3.6 ,80.9 ,40.3 ,97.8 ,0.8 ,11.8,49.2 ,45.3 ,61.7 ,1.4,81.9 ,25.5 ,(33.8),*,8.4 ,*,7.7 ,40.7 ,31.3 ,13.0 ,44.0 ,2.2 ,23.1,20.8,51.4,67.7 ,73.9,68.3 ,73.6,72.7 ,6.8,6.6,14,9.6,6.5,17,8.3,2.7,13.9,10.3,1.8,14.5,0.5,0.3,0.3,2.4,43.7,0.5,17.8
Buxar ,Bihar,975,1295,158,64.8,32.7,1005,886 ,77.1,40.5 ,98.5,99.8,52.4,44.7,93.5,11.4,18.3 ,68.1,33.3,30.8 ,5.8 ,7.2 ,56.6,60.5,44.6,35.1,0,1,2.4,3.8,1.4,9.1,3.4,31.4,67.3 ,61.5 ,27.4 ,93.4 ,21.1 ,9.8 ,92.2 ,66.9 ,1686 ,(2.2),68.3 ,89.5,50.9,2.8,90.6,7.7,19.1 ,0.7 ,75.0 ,81.7 ,97.3 ,75.0 ,90.5 ,90.5 ,35.7 ,6.3 ,89.6 ,50.4 ,90.4 ,6.4 ,10.4,49.2 ,26.8 ,87.2 ,3.7,81.6 ,36.9 ,(33.0),(45.9),8.4 ,(8.1),8.3 ,39.6 ,33.2 ,15.1 ,45.3 ,4.9 ,21.1,16.6,57.7,68.3 ,67,55.1 ,66.2,66.0 ,7.1,4.9,12.9,6.6,4.5,11.5,9.2,2.8,13.9,7.4,2,10.5,0.3,0.3,0,1.8,42.2,0.1,11.4
