circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nellutla B.O,506175,BO,Non Delivery,JANGOAN,TELANGANA,17.7890000,79.1672000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Peddapahad B.O,506175,BO,Delivery,JANGOAN,TELANGANA,17.7320000,79.1780000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Rebarthy B.O,506367,BO,Delivery,SIDDIPET,TELANGANA,17.2230000,79.1200000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dhulmitta B.O,506367,BO,Delivery,SIDDIPET,TELANGANA,17.0892000,79.0991000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Posanpalli B.O,506355,BO,Delivery,SIDDIPET,TELANGANA,16.9960000,78.9230000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Tadur Bo B.O,506355,BO,Delivery,SIDDIPET,TELANGANA,16.9810000,78.9620000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pasaramadla B.O,506201,BO,Delivery,JANGOAN,TELANGANA,16.4420000,78.8540000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nidigonda B.O,506244,BO,Delivery,JANGOAN,TELANGANA,15.4025000,76.5960000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Iravennur B.O,506244,BO,Delivery,JANGOAN,TELANGANA,15.9630000,79.3210000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Mangal Banda Thanda B.O,506244,BO,Delivery,JANGOAN,TELANGANA,14.3550000,78.3970000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Wanaparthy B.O,506303,BO,Delivery,JANGOAN,TELANGANA,16.3287414,70.8964000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dammannapet B.O,506342,BO,Delivery,WARANGAL,TELANGANA,18.067409999999999,79.672430000000006
Telangana Circle,Hyderabad Region,Karimnagar Division,Nagaram B.O,505301,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.4472390,78.7688730
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kasimpalli B.O,506169,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,79.0000000,17.0000000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Laxmareddipalli B.O,506168,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,35.8968000,61.2536900
Telangana Circle,Hyderabad Region,Hanamkonda Division,Garimillapalli B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,39.5698000,58.6359000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kundanpalli B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2549000,79.8968700
Telangana Circle,Hyderabad Region,Karimnagar Division,Nawabpet B.O,505467,BO,Delivery,KARIMNAGAR,TELANGANA,18.1807040,79.1697810
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nawabpet B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3434466,79.6554116
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pangidipalli B.O,506356,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.4059149,79.6351512
Telangana Circle,Hyderabad Region,Hanamkonda Division,Sarvai B.O,506165,BO,Delivery,Mulugu,TELANGANA,18.49165,80.330640000000002
Telangana Circle,Hyderabad Region,Hanamkonda Division,Thimmapur B.O,506345,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3295766,79.9764416
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bhagirathipet B.O,506345,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2777497,79.7914119
Telangana Circle,Hyderabad Region,Hanamkonda Division,Machapur B.O,506344,BO,Delivery,Mulugu,TELANGANA,18.2115978,80.0623935
Telangana Circle,Hyderabad Region,Hanamkonda Division,Potlapur B.O,506352,BO,Delivery,Mulugu,TELANGANA,18.110620000000001,79.991910000000004
Telangana Circle,Hyderabad Region,Hanamkonda Division,Balannagudem B.O,506172,BO,Delivery,Mulugu,TELANGANA,18.198540000000001,80.524280000000005
Telangana Circle,Hyderabad Region,Hanamkonda Division,Jadalpet B.O,506170,BO,Non Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3690203,79.7398632
Telangana Circle,Hyderabad Region,Hanamkonda Division,Relakunta B.O,506350,BO,Delivery,WARANGAL,TELANGANA,18.0792252,79.8205965
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramachandrapuram B.O,506221,BO,Delivery,JANGOAN,TELANGANA,17.7954983,78.9449683
Telangana Circle,Hyderabad Region,Hanamkonda Division,Akinepalli B.O,506366,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3614001,79.5950964
Telangana Circle,Hyderabad Region,Hanamkonda Division,Peddakomati Palli B.O,506366,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3396879,79.6000073
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pidicilla B.O,506366,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3072561,79.6063575
Telangana Circle,Hyderabad Region,Hanamkonda Division,Vemulapalli B.O,506366,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2778600,79.6122286
Telangana Circle,Hyderabad Region,Hanamkonda Division,Abbapur B.O,506343,BO,Delivery,Mulugu,TELANGANA,18.1662582,79.9346789
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bandarupalli B.O,506343,BO,Delivery,Mulugu,TELANGANA,18.1662582,79.9346789
Telangana Circle,Hyderabad Region,Hanamkonda Division,Narlapur B.O,506391,BO,Delivery,WARANGAL,TELANGANA,18.2414939,79.6011127
Telangana Circle,Hyderabad Region,Hanamkonda Division,Mustialpalli B.O,506391,BO,Delivery,WARANGAL,TELANGANA,18.159929999999999,79.614320000000006
Telangana Circle,Hyderabad Region,Hanamkonda Division,Oorattam B.O,506347,BO,Delivery,Mulugu,TELANGANA,18.3228717,80.2191091
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bittupalli B.O,506347,BO,Delivery,Mulugu,TELANGANA,18.1910045,80.1690875
Telangana Circle,Hyderabad City Region,Medak Division,Narlapur BO,502102,BO,Delivery,MEDAK,TELANGANA,18.074595,78.540842
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kothapalli v B.O,506170,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3679780,79.7826000
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramannagudem B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.251473000000001,79.856381499999998
Telangana Circle,Hyderabad Region,Hanamkonda Division,Repakpalli B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2827041,79.7147792
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dammannapet B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2344293,79.7352230
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramannagudem B.O,506165,BO,Delivery,Mulugu,TELANGANA,18.3389210,80.4302319
Telangana Circle,Hyderabad Region,Hanamkonda Division,Sultanpur B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2018606,79.8079134
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nizampalli B.O,506348,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.165649999999999,79.810959999999994
Telangana Circle,Hyderabad Region,Hanamkonda Division,Gatlakaniparthy B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1340162,79.6803943
Telangana Circle,Hyderabad Region,Hanamkonda Division,Taharapur B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1269062,79.7084366
Telangana Circle,Hyderabad Region,Hanamkonda Division,Chinnakodepak B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1650847,79.7393060
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pathipak B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1020054,79.7058414
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pocharam B.O,506319,BO,Delivery,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.161560000000001,79.732100000000003
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramtheertham B.O,506350,BO,Delivery,WARANGAL,TELANGANA,18.049019999999999,79.876589999999993
Telangana Circle,Hyderabad Region,Karimnagar Division,Donthapur B.O,505425,BO,Delivery,Jagitial,TELANGANA,19.0373464,79.0338275
Telangana Circle,Hyderabad Region,Karimnagar Division,Kothapalli B.O,505304,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.2578900,78.5845370
Telangana Circle,Hyderabad Region,Karimnagar Division,Mallareddipet B.O,505304,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.3242230,78.6185940
Telangana Circle,Hyderabad Region,Karimnagar Division,Narmala B.O,505304,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.3615390,78.6549670
Telangana Circle,Hyderabad Region,Karimnagar Division,Rapalli B.O,505532,BO,Delivery,Jagitial,TELANGANA,18.8123700,79.0406660
Telangana Circle,Hyderabad Region,Karimnagar Division,Vemulakurthi B.O,505450,BO,Delivery,Jagitial,TELANGANA,18.9632340,78.5991950
Telangana Circle,Hyderabad Region,Karimnagar Division,Maddutla B.O,505452,BO,Delivery,Jagitial,TELANGANA,18.7138570,78.8962190
Telangana Circle,Hyderabad Region,Karimnagar Division,Bandapalli B.O,505403,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.5272830,78.7340780
Telangana Circle,Hyderabad Region,Karimnagar Division,Kalvakota B.O,505453,BO,Delivery,Jagitial,TELANGANA,18.7641210,78.7830380
Telangana Circle,Hyderabad Region,Karimnagar Division,Katlakunta B.O,505453,BO,Delivery,Jagitial,TELANGANA,18.8356860,78.8114980
Telangana Circle,Hyderabad Region,Karimnagar Division,Mohanraopet B.O,505453,BO,Delivery,Jagitial,TELANGANA,18.8126660,78.7791610
Telangana Circle,Hyderabad Region,Karimnagar Division,Chowlamaddi B.O,505325,BO,Delivery,Jagitial,TELANGANA,18.8279680,78.6504790
Telangana Circle,Hyderabad Region,Karimnagar Division,Metlachittapur B.O,505325,BO,Delivery,Jagitial,TELANGANA,18.7904150,78.5902140
Telangana Circle,Hyderabad Region,Karimnagar Division,Namapur B.O,505404,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.2905940,78.6728170
